Name,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment
" Roger F Wicker (Wicker, Roger)",8/24/2018,Spouse,GDV,The Gabelli Dividend & Income Trust,Other Securities,Sale (Partial),"$1,001 - $15,000",--
" Roger F Wicker (Wicker, Roger)",4/23/2018,Spouse,GDV,The Gabelli Dividend & Income Trust,Other Securities,Purchase,"$1,001 - $15,000",--
" Roger F Wicker (Wicker, Roger)",4/24/2018,Spouse,--,"Torchmark Corporation NTS ISIN US891027AP93
Rate/Coupon: 9.25
Matures: 06/15/2019",Corporate Bond,Sale (Full),"$15,001 - $50,000",--
" Roger F Wicker (Wicker, Roger)",5/4/2020,Spouse,CTECBX,"CTECBX
Company: Guggenheim Investments (Chicago, IL)
Description: Guggenheim Investments is the global asset management and investment advisory division of Guggenheim Partners",Other Securities,Purchase,"$1,001 - $15,000",Purchase of Equity - Unit Investment Trust.
" Roger F Wicker (Wicker, Roger)",5/5/2020,Spouse,BIF,"Boulder Growth & Income Fund, Inc.
Company: Boulder Funds  (Denver, CO)
Description: mutual fund",Other Securities,Sale (Full),"$1,001 - $15,000",--
" Roger F Wicker (Wicker, Roger)",5/17/2019,Spouse,BIF,"Boulder Growth & Income Fund, Inc.",Other Securities,Purchase,"$1,001 - $15,000",--
" Roger F Wicker (Wicker, Roger)",5/18/2019,Spouse,GDV,The Gabelli Dividend & Income Trust,Other Securities,Sale (Full),"$1,001 - $15,000",--
" Roger F Wicker (Wicker, Roger)",4/29/2014,Spouse,--,"CSX Corp NTS ISIN US126408GQ05
Rate/Coupon: 7.375
Matures: 02/01/2019",Corporate Bond,Sale (Full),"$15,001 - $50,000",--
" Roger F Wicker (Wicker, Roger)",11/17/2014,Spouse,--,"Petrobras International Finance Company NTS ISIN US71645WAN11
Rate/Coupon: 7.875
Matures: 03/15/2019",Corporate Bond,Sale (Full),"$1,001 - $15,000",--
" Roger F Wicker (Wicker, Roger)",1/2/2014,Spouse,--,"Bunge Limited Finance Corp NTS ISIN US120568AT72
Rate/Coupon: 8.5
Matures: 06/15/2019",Corporate Bond,Sale (Full),"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",11/24/2018,Spouse,--,"Fitz Frames, Inc.
Company: Fitz Frames, Inc.  (Santa Monica, CA)
Description: Custom eyeglass wear",Non-Public Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,AMAT,"Applied Materials, Inc.",Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,DNKN,"Dunkin' Brands Group, Inc.",Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,F,Ford Motor Company,Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,GOOG,Alphabet Inc.,Stock,Purchase,"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,KLAC,KLA Corporation,Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,SBUX,Starbucks Corporation,Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,T,AT&T Inc.,Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,VMC,Vulcan Materials Company,Stock,Purchase,"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",5/1/2020,Spouse,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/24/2020,Spouse,TEL,TE Connectivity Ltd.,Stock,Sale (Full),"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/24/2020,Spouse,JCI,Johnson Controls International plc,Stock,Sale (Full),"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/24/2020,Spouse,C,Citigroup Inc.,Stock,Sale (Full),"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/24/2020,Spouse,CRWD,"CrowdStrike Holdings, Inc.",Stock,Sale (Full),"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",4/23/2020,Spouse,PYPL,"PayPal Holdings, Inc.",Stock,Purchase,"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",4/21/2020,Spouse,CRWD,"CrowdStrike Holdings, Inc.",Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/21/2020,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",4/17/2020,Spouse,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$50,001 - $100,000",--
" Ron L Wyden (Wyden, Ron)",4/8/2020,Spouse,UPS,"United Parcel Service, Inc.",Stock,Purchase,"$15,001 - $50,000",--
" Ron L Wyden (Wyden, Ron)",4/8/2020,Spouse,GOOG,Alphabet Inc.,Stock,Purchase,"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/6/2020,Spouse,QSR,Restaurant Brands International Inc.,Stock,Purchase,"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/6/2020,Spouse,GRUB,Grubhub Inc.,Stock,Purchase,"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/6/2020,Spouse,GOOG,Alphabet Inc.,Stock,Purchase,"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/6/2020,Spouse,IRBT,iRobot Corporation,Stock,Purchase,"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/6/2020,Spouse,DNKN,"Dunkin' Brands Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--
" Ron L Wyden (Wyden, Ron)",4/6/2020,Spouse,SBUX,Starbucks Corporation,Stock,Purchase,"$1,001 - $15,000",--
