Name,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/25/2014,Self,M,"Macy's, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,BEAV,B/E Aerospace Inc. (NASDAQ),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,KORS,Michael Kors Holdings Limited (NYSE),,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,T,"AT&T, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,KEYS,"Keysight Technologies, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",Agilent Tech common stock completed a spinoff on 10/22/14 to Keysight Tech
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,ABBV,AbbVie Inc. (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,SSYS,Stratasys Ltd. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,HYH,"Halyard Health, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",KMB completed a spinoff of its health care business business now known as HYH on 11/01/14
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Self,AMGN,Amgen Inc. (NASDAQ),,Purchase,"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/25/2014,Joint,PRU,"Prudential Financial, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/25/2014,Joint,PCAR,PACCAR Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Joint,CMRE,Costamare Inc. (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/25/2014,Child,IBM,International Business Machines Corporation (NYSE),,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",11/25/2014,Child,PCAR,PACCAR Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Child,KORS,Michael Kors Holdings Limited (NYSE),,Sale (Partial),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Child,T,"AT&T, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Child,ORCL,Oracle Corporation (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",12/18/2014,Spouse,TJX,"The TJX Companies, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/13/2020,Self,DLR,"Digital Realty Trust, Inc.",Stock,Purchase,"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",02/13/2020,Self,WM,"Waste Management, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--
